
page=0

w:abandon, q:69
w:headphone, q:1
w:health, q:157
w:healthy, q:107
w:hear, q:571
w:heart, q:1000
w:heat, q:99
w:heaven, q:474
w:heavy, q:161
w:heel, q:29
w:height, q:70
w:heir, q:26
w:hell, q:197
w:help, q:490
w:hen, q:18
w:here, q:875
w:heritage, q:25
w:hero, q:95
w:hesitate, q:36
w:hiccup, q:1
w:hide, q:136
w:high, q:447
w:hijack, q:1
w:hill, q:192
w:hinge, q:11
w:hire, q:21
w:history, q:566
w:hit, q:102
w:hobby, q:6
w:hold, q:556
w:hold on, q:18
w:hole, q:69
w:holiday, q:32
w:hollow, q:62
w:holy, q:180
w:home, q:544
w:homesick, q:6
w:honest, q:217
w:honey, q:55
w:honeymoon, q:3
w:honour, q:68
w:hook, q:61
w:hop, q:63
w:hope, q:590
w:hopeless, q:32
w:horizon, q:57
w:horizontal, q:12
w:horn, q:27
w:horrible, q:64
w:horse, q:172
w:hose, q:5
w:hospital, q:32
w:host, q:51
w:hostage, q:11
w:hot, q:114
w:hotel, q:47
w:hour, q:418
w:hourly, q:10
w:house, q:588
w:housewife, q:11
w:hover, q:19
w:how, q:1000
w:however, q:209
w:hubbub, q:1
w:hug, q:27
w:huge, q:78
w:hum, q:28
w:human, q:1000
w:humble, q:84
w:humour, q:36
w:hungry, q:78
w:hunt, q:97
w:hurry, q:43
w:hurt, q:138
w:husband, q:202
w:hush, q:23
w:hut, q:18
w:ice-cream, q:5
w:insect, q:36
w:instead of, q:250
w:ironically, q:4
w:jack, q:40
w:jackal, q:4
w:jacket, q:12
w:jail, q:39
w:jam, q:12
w:january, q:8
w:jar, q:23
w:jaw, q:16
w:jazz, q:22
w:jealous, q:45
w:jeans, q:3
w:jelly, q:19
w:jellyfish, q:4
w:jet, q:13
w:jewel, q:35
w:job, q:208
w:jockey, q:3
w:join, q:137
w:joint, q:24
w:joke, q:73
w:jolly, q:20
w:journal, q:27
w:journalist, q:39
w:journey, q:88
w:joy, q:330
w:jubilee, q:1
w:judge, q:253
w:judgement, q:31
w:juice, q:24
w:july, q:19
w:jump, q:67
w:june, q:50
w:jury, q:22
w:just, q:1000
w:justice, q:223
w:keen, q:36
w:keep, q:934
w:ketchup, q:1
w:key, q:88
w:kick, q:70
w:kid, q:153
w:kidney, q:6
w:kill, q:409
w:kin, q:29
w:kind, q:825
w:king, q:355
w:kingdom, q:132
w:kiss, q:202
w:kitchen, q:61
w:knee, q:42
w:knife, q:34
w:knight, q:34
w:knob, q:2
w:knock, q:82
w:knot, q:28
w:know, q:1000
w:knowledge, q:485
w:label, q:22
w:laboratory, q:17
w:labour, q:74
w:lack, q:237
w:ladder, q:27
w:ladle, q:1
w:lady, q:229
w:lake, q:87
w:lamb, q:75
w:lame, q:21
w:lamp, q:55
w:lamppost, q:1
w:land, q:402
w:landlady, q:3
w:lane, q:25
w:language, q:399
w:large, q:299
w:lash, q:23
w:last, q:871
w:late, q:163
w:laugh, q:236
w:launch, q:18
w:laundry, q:9
w:lavatory, q:5
w:law, q:631
w:lawful, q:23
w:lawyer, q:68
w:lay, q:317
w:lazy, q:40
w:lead, q:371
w:leader, q:103
w:leadership, q:16
w:leaf, q:49
w:league, q:22
w:leak, q:13
w:lean, q:86
w:learn, q:886
w:lease, q:7
w:least, q:569
w:leather, q:14
w:leave, q:701
w:lecture, q:28
w:left, q:550
w:leg, q:103
w:legacy, q:5
w:legal, q:54
w:lemon, q:6
w:lend, q:81
w:length, q:123
w:lens, q:7
w:less, q:770
w:lesson, q:102
w:let, q:1000
w:letter, q:155
w:lettuce, q:2
w:level, q:174
w:lever, q:13
w:liar, q:28
w:liberal, q:83
w:liberty, q:184
w:library, q:36
w:licence, q:3
w:lick, q:30
w:lid, q:10
w:lie, q:721
w:life, q:1000
w:lift, q:91
w:light, q:710
w:lighter, q:6
w:like, q:1000
w:likely, q:175
w:limit, q:151
w:line, q:268
w:link, q:62
w:lip, q:137
w:liquid, q:30
w:liquidate, q:3
w:list, q:67
w:listen, q:252
w:literature, q:219
w:litter, q:7
w:little, q:1000
w:live, q:1000
w:liver, q:25
w:lives, q:592
w:living, q:649
w:load, q:32
w:loaf, q:14
w:loan, q:8
w:lobster, q:11
w:local, q:69
w:locate, q:8
w:lock, q:41
w:lonely, q:109
w:long, q:1000
w:look, q:1000
w:loose, q:92
w:lose, q:284
w:loss, q:132
w:lot, q:263
w:loud, q:74
w:love, q:1000
w:lovely, q:130
w:low, q:174
w:lower, q:108
w:loyal, q:31
w:loyalty, q:25
w:luck, q:64
w:lucky, q:53
w:luggage, q:7
w:lunch, q:19
w:lung, q:22
w:luxury, q:67
w:machine, q:112
w:mad, q:124
w:madam, q:8
w:magazine, q:27
w:magic, q:101
w:magnet, q:7
w:magnificent, q:44
w:maid, q:45
w:mail, q:11
w:main, q:121
w:maintain, q:143
w:major, q:88
w:majority, q:118
w:make, q:1000
w:make-up, q:4
w:male, q:208
w:man, q:1000
w:manage, q:98
w:management, q:26
w:manager, q:19
w:maniac, q:5
w:manner, q:291
w:manual, q:26
w:manufacture, q:18
w:many, q:1000
w:map, q:39
w:march, q:78
w:margin, q:19
w:mark, q:466
w:market, q:68
w:marmalade, q:2
w:marry, q:95
w:marvellous, q:9
w:mask, q:67
w:mass, q:150
w:massacre, q:7
w:massive, q:27
w:master, q:292
w:mat, q:2
w:match, q:61
w:mate, q:31
w:material, q:241
w:mathematics, q:36
w:matter, q:619
w:mattress, q:3
w:mature, q:41
w:maturity, q:27
w:maximum, q:15
w:may, q:1000
w:me, q:1000
w:meadow, q:49
w:meal, q:45
w:mean, q:1000
w:meaning, q:267
w:means, q:641
w:meantime, q:8
w:meanwhile, q:16
w:measure, q:211
w:meat, q:69
w:mechanic, q:16
w:medal, q:9
w:medical, q:31
w:medicine, q:56
w:meet, q:395
w:meeting, q:94
w:melody, q:15
w:melon, q:11
w:melt, q:81
w:member, q:162
w:memorable, q:31
w:memorandum, q:1
w:memorial, q:15
w:memorize, q:4
w:memory, q:225
w:men, q:1000
w:mend, q:29
w:mental, q:177
w:mention, q:45
w:merchant, q:23
w:mercy, q:85
w:mere, q:312
w:merely, q:402
w:merge, q:12
w:merit, q:107
w:merry, q:67
w:mess, q:27
w:message, q:76
w:metal, q:29
w:meter, q:9
w:method, q:173
w:metre, q:3
w:mice, q:18
w:middle, q:213
w:midnight, q:57
w:might, q:903
w:mike, q:8
w:mild, q:42
w:military, q:66
w:milk, q:64
w:mill, q:37
w:millet, q:7
w:millionaire, q:9
w:mimic, q:11
w:mince, q:4
w:mind, q:1000
w:mine, q:261
w:minimum, q:9
w:minister, q:51
w:minor, q:33
w:minority, q:36
w:minus, q:9
w:minute, q:146
w:miracle, q:88
w:mirror, q:96
w:miser, q:8
w:miserable, q:66
w:misery, q:102
w:miss, q:177
w:missile, q:6
w:mission, q:32
w:mistake, q:164
w:misunderstand, q:23
w:mix, q:90
w:mobile, q:7
w:model, q:82
w:moderate, q:39
w:modern, q:366
w:modest, q:52
w:moisture, q:7
w:mole, q:12
w:moment, q:489
w:monday, q:16
w:money, q:428
w:monkey, q:23
w:month, q:126
w:monument, q:39
w:mood, q:81
w:moon, q:177
w:moral, q:479
w:morale, q:4
w:more, q:1000
w:morning, q:301
w:mortgage, q:9
w:mosque, q:1
w:mosquito, q:2
w:moss, q:30
w:most, q:1000
w:mother, q:699
w:motion, q:106
w:motive, q:92
w:motor, q:18
w:mountain, q:192
w:mouse, q:29
w:mouth, q:232
w:move, q:356
w:movement, q:192
w:much, q:1000
w:mud, q:40
w:multiply, q:14
w:murder, q:131
w:murmur, q:24
w:muscle, q:30
w:museum, q:38
w:mushroom, q:7
w:music, q:299
w:muslim, q:4
w:must, q:1000
w:mustard, q:9
w:mute, q:26
w:mutter, q:11
w:mutual, q:76
w:my, q:1000
w:mystery, q:108
w:nail, q:37
w:name, q:617
w:napkin, q:5
w:narrate, q:1
w:narrow, q:124
w:nasty, q:16
w:nation, q:416
w:national, q:207
w:native, q:142
w:natural, q:429
w:nature, q:1000
w:naughty, q:10
w:near, q:249
w:necessary, q:327
w:necessity, q:170
w:neck, q:63
w:need, q:1000
w:needle, q:42
w:needless, q:12
w:neglect, q:84
w:negotiate, q:11
w:neighbour, q:25
w:neither, q:448
w:nephew, q:3
w:nervous, q:57
w:nest, q:45
w:net, q:45
w:network, q:21
w:never, q:1000
w:nevertheless, q:52
w:new, q:1000
w:news, q:116
w:newspaper, q:105
w:next, q:321
w:nice, q:99
w:nickname, q:2
w:niece, q:6
w:night, q:676
w:nightmare, q:36
w:nil, q:4
w:no, q:1000
w:noble, q:192
w:nobody, q:216
w:noise, q:89
w:nominate, q:4
w:none, q:347
w:nonsense, q:54
w:noon, q:47
w:normal, q:89
w:north, q:115
w:nose, q:83
w:not, q:1000
w:note, q:141
w:nothing, q:1000
w:notice, q:75
w:notorious, q:14
w:novel, q:169
w:november, q:9
w:now, q:1000
w:nowadays, q:67
w:nowhere, q:76
w:nude, q:11
w:nuisance, q:7
w:number, q:293
w:nurse, q:41
w:nut, q:24
w:nylon, q:2
w:oak, q:29
w:oar, q:8
w:oasis, q:5
w:obey, q:110
w:object, q:380
w:oblige, q:77
w:observation, q:69
w:observe, q:166
w:obtain, q:79
w:obvious, q:101
w:occasion, q:133
w:occupation, q:52
w:occupy, q:37
w:occur, q:80
w:ocean, q:145
w:october, q:11
w:odd, q:76
w:of, q:1000
w:off, q:729
w:offence, q:30
w:offend, q:58
w:offer, q:278
w:office, q:148
w:officer, q:44
w:official, q:51
w:often, q:906
w:oil, q:42
w:old, q:1000
w:old-fashioned, q:29
w:omelette, q:1
w:omit, q:25
w:on, q:1000
w:once, q:927
w:one, q:1000
w:onion, q:9
w:only, q:1000
w:open, q:399
w:operate, q:47
w:operation, q:50
w:opinion, q:338
w:opportunity, q:132
w:opposite, q:125
w:optimist, q:14
w:option, q:9
w:or, q:1000
w:oral, q:10
w:orange, q:30
w:orbit, q:15
w:orchard, q:20
w:order, q:634
w:ordinary, q:206
w:organ, q:51
w:organize, q:98
w:origin, q:69
w:original, q:154
w:other, q:1000
w:otherwise, q:149
w:ought, q:353
w:our, q:1000
w:out, q:1000
w:out-of-date, q:3
w:outline, q:31
w:output, q:6
w:outside, q:230
w:oval, q:1
w:oven, q:4
w:over, q:1000
w:overcome, q:65
w:overdo, q:1
w:overtake, q:15
w:overtime, q:2
w:overwork, q:3
w:owe, q:98
w:owl, q:28
w:own, q:1000
w:owner, q:43
w:ox, q:21
w:oxygen, q:7
w:oyster, q:15
w:pack, q:39
w:packed, q:15
w:packet, q:4
w:page, q:88
w:pain, q:270
w:painful, q:83
w:paint, q:265
w:painter, q:59
w:pair, q:70
w:palace, q:37
w:pale, q:95
w:palm, q:32
w:pan, q:13
w:panel, q:4
w:panic, q:9
w:pants, q:17
w:paper, q:123
w:parachute, q:1
w:parade, q:23
w:paradise, q:80
w:paragraph, q:15
w:parcel, q:13
w:pardon, q:40
w:parent, q:506
w:park, q:25
w:parliament, q:18
w:parrot, q:9
w:part, q:948
w:part-time, q:3
w:participate, q:21
w:particular, q:265
w:partner, q:46
w:party, q:146
w:pass, q:485
w:passage, q:67
w:passenger, q:16
w:passive, q:37
w:passport, q:12
w:past, q:449
w:pasta, q:2
w:paste, q:4
w:pastime, q:7
w:path, q:158
w:patience, q:64
w:patient, q:74
w:patron, q:12
w:pause, q:37
w:paw, q:15
w:pay, q:275
w:payment, q:16
w:pea, q:10
w:peace, q:323
w:peach, q:8
w:peak, q:20
w:peanut, q:6
w:pear, q:8
w:pearl, q:65
w:peasant, q:24
w:peculiar, q:79
w:pedestrian, q:3
w:peel, q:10
w:pen, q:70
w:penalty, q:22
w:pencil, q:11
w:pension, q:8
w:people, q:1000
w:pepper, q:5
w:per, q:34
w:perfect, q:303
w:perform, q:113
w:performance, q:75
w:perfume, q:21
w:perhaps, q:530
w:peril, q:26
w:period, q:135
w:permanent, q:74
w:permission, q:12
w:permit, q:74
w:persist, q:39
w:person, q:778
w:personality, q:102
w:persuade, q:80
w:pessimist, q:14
w:petrol, q:1
w:philosophy, q:244
w:phone, q:18
w:photo, q:4
w:physical, q:228
w:piano, q:22
w:pick, q:140
w:picket, q:2
w:pickle, q:4
w:pickpocket, q:4
w:picnic, q:3
w:picture, q:223
w:pie, q:22
w:piece, q:213
w:pig, q:29
w:pigeon, q:12
w:pile, q:30
w:pill, q:18
w:pillow, q:12
w:pilot, q:20
w:pin, q:15
w:pincers, q:3
w:pinch, q:22
w:pine, q:70
w:pineapple, q:2
w:pink, q:38
w:pioneer, q:29
w:pipe, q:33
w:pistol, q:9
w:pity, q:129
w:place, q:963
w:plain, q:171
w:plan, q:104
w:plane, q:28
w:plant, q:151
w:plantation, q:6
w:plastic, q:22
w:plate, q:33
w:platform, q:18
w:play, q:441
w:player, q:49
w:playground, q:3
w:pleasant, q:117
w:please, q:204
w:pleasure, q:442
w:plenty, q:60
w:plough, q:9
w:plug, q:4
w:plum, q:15
w:plumber, q:5
w:plus, q:20
w:pocket, q:42
w:poem, q:113
w:poet, q:299
w:poetry, q:297
w:point, q:451
w:poison, q:71
w:pole, q:34
w:police, q:52
w:policy, q:73
w:polish, q:40
w:polite, q:24
w:political, q:401
w:politician, q:99
w:politics, q:188
w:pool, q:28
w:poor, q:529
w:population, q:73
w:porcelain, q:3
w:pork, q:5
w:port, q:29
w:porter, q:46
w:position, q:162
w:positive, q:57
w:possess, q:188
w:possession, q:98
w:possibility, q:82
w:possible, q:403
w:post, q:26
w:postage, q:1
w:postpone, q:25
w:pot, q:49
w:potato, q:5
w:pour, q:80
w:poverty, q:123
w:powder, q:17
w:power, q:976
w:power of attorney, q:226
w:powerful, q:123
w:practical, q:128
w:practice, q:166
w:practise, q:41
w:praise, q:216
w:pray, q:129
w:preach, q:72
w:precious, q:109
w:precisely, q:118
w:predict, q:24
w:prefer, q:121
w:pregnant, q:31
w:prejudice, q:109
w:preparation, q:28
w:prepare, q:167
w:prescription, q:10
w:presence, q:138
w:present, q:473
w:preserve, q:122
w:president, q:129
w:press, q:91
w:pressure, q:50
w:pretend, q:106
w:pretty, q:152
w:prevent, q:128
w:previous, q:32
w:price, q:105
w:pride, q:164
w:priest, q:71
w:primarily, q:35
w:primary, q:57
w:primitive, q:84
w:prince, q:138
w:principal, q:66
w:print, q:40
w:priority, q:11
w:prison, q:80
w:prisoner, q:42
w:private, q:230
w:privilege, q:90
w:prize, q:39
w:probable, q:21
w:problem, q:270
w:process, q:188
w:produce, q:298
w:product, q:115
w:production, q:72
w:profession, q:83
w:profit, q:67
w:programme, q:14
w:progress, q:188
w:prohibit, q:14
w:promise, q:124
w:promote, q:33
w:promotion, q:11
w:pronounce, q:49
w:proof, q:88
w:propeller, q:1
w:proper, q:186
w:property, q:114
w:proportion, q:113
w:proposal, q:7
w:propose, q:61
w:prosecute, q:4
w:prostitution, q:18
w:protect, q:131
w:protest, q:38
w:proud, q:146
w:prove, q:265
w:proverb, q:32
w:provide, q:202
w:provocation, q:7
w:provoke, q:32
w:pub, q:5
w:public, q:470
w:publicity, q:14
w:publish, q:43
w:pull, q:146
w:pull up, q:4
w:pulse, q:25
w:pump, q:11
w:pumpkin, q:7
w:punch, q:10
w:punctual, q:4
w:punish, q:62
w:pupil, q:28
w:puppet, q:5
w:puppy, q:5
w:purchase, q:34
w:pure, q:220
w:purple, q:52
w:purpose, q:275
w:purse, q:21
w:push, q:120
w:put, q:988
w:puzzle, q:25
w:pyramid, q:16
w:qualified, q:12
w:quality, q:186
w:quantity, q:31
w:quarrel, q:58
w:quarter, q:45
w:queen, q:84
w:question, q:447
w:queue, q:1
w:quick, q:89
w:quiet, q:135
w:quite, q:487
w:quota, q:4
w:quote, q:27
w:rabbit, q:23
w:race, q:368
w:racket, q:6
w:radar, q:3
w:radiator, q:2
w:radio, q:32
w:rail, q:18
w:railing, q:6
w:railway, q:16
w:rain, q:128
w:raise, q:235
w:ram, q:6
w:range, q:82
w:rank, q:97
w:rapid, q:43
w:rare, q:126
w:rash, q:18
w:rat, q:35
w:rate, q:58
w:rather, q:737
w:raw, q:49
w:razor, q:11
w:reach, q:377
w:read, q:650
w:ready, q:216
w:realize, q:201
w:really, q:737
w:rear, q:63
w:reason, q:695
w:reasonable, q:68
w:recall, q:60
w:receipt, q:6
w:receive, q:188
w:recent, q:43
w:reception, q:13
w:recession, q:2
w:recipe, q:11
w:recognize, q:217
w:recollect, q:20
w:recommend, q:52
w:reconcile, q:33
w:reconciliation, q:12
w:record, q:132
w:recover, q:39
w:red, q:220
w:reduce, q:105
w:referee, q:1
w:reflect, q:131
w:refreshments, q:2
w:refrigerator, q:7
w:refuge, q:44
w:refugee, q:6
w:refuse, q:162
w:regard, q:199
w:region, q:68
w:register, q:22
w:regret, q:65
w:regular, q:34
w:regulation, q:18
w:reject, q:80
w:relate, q:67
w:relation, q:223
w:relationship, q:179
w:relative, q:56
w:relax, q:30
w:release, q:40
w:relevant, q:11
w:reliable, q:19
w:relief, q:51
w:relieve, q:39
w:religion, q:321
w:reluctant, q:11
w:remain, q:486
w:remark, q:28
w:remarkable, q:80
w:remedy, q:47
w:remember, q:443
w:remind, q:121
w:remit, q:1
w:remote, q:49
w:remove, q:90
w:rent, q:22
w:repair, q:29
w:repay, q:9
w:repeat, q:118
w:replace, q:43
w:replacement, q:5
w:reply, q:29
w:report, q:54
w:represent, q:160
w:representative, q:47
w:republic, q:50
w:reputation, q:73
w:request, q:13
w:require, q:285
w:rescue, q:27
w:research, q:37
w:resent, q:20
w:reserve, q:52
w:reside, q:24
w:resident, q:10
w:resign, q:28
w:resist, q:88
w:respect, q:298
w:respectable, q:59
w:respond, q:34
w:responsible, q:72
w:rest, q:410
w:restaurant, q:11
w:restore, q:56
w:restrict, q:21
w:result, q:304
w:resume, q:15
w:retail, q:8
w:retaliation, q:4
w:retire, q:36
w:return, q:269
w:revenge, q:46
w:revenue, q:10
w:reverse, q:28
w:revise, q:6
w:revolution, q:164
w:reward, q:115
w:rib, q:15
w:ribbon, q:17
w:rice, q:13
w:rich, q:437
w:rid, q:119
w:ride, q:87
w:ridiculous, q:58
w:rifle, q:16
w:right, q:1000
w:ring, q:86
w:ripe, q:39
w:rise, q:228
w:risk, q:82
w:risky, q:9
w:river, q:203
w:road, q:184
w:roar, q:51
w:roast, q:28
w:rob, q:67
w:rock, q:163
w:rocket, q:10
w:role, q:158
w:roll, q:75
w:roof, q:61
w:room, q:285
w:root, q:137
w:rope, q:29
w:rose, q:210
w:rough, q:67
w:round, q:259
w:roundabout, q:1
w:route, q:29
w:row, q:31
w:royal, q:47
w:rub, q:47
w:rubber, q:17
w:rubbish, q:19
w:rude, q:53
w:rug, q:8
w:ruin, q:110
w:rule, q:391
w:ruler, q:44
w:rumble, q:9
w:run, q:515
w:runaway, q:10
w:rush, q:67
w:rust, q:24
w:sabotage, q:2
w:sack, q:14
w:sacrifice, q:117
w:sad, q:176
w:saddle, q:10
w:safari, q:1
w:safe, q:129
w:sail, q:63
w:sailor, q:33
w:sake, q:135
w:salad, q:9
w:salary, q:12
w:sale, q:26
w:salmon, q:7
w:saloon, q:8
w:salt, q:54
w:salute, q:12
w:same, q:1000
w:sample, q:12
w:sand, q:83
w:sandal, q:7
w:sandwich, q:14
w:sardine, q:1
w:satellite, q:5
w:satin, q:9
w:satisfy, q:57
w:saturday, q:13
w:sauce, q:11
w:saucer, q:3
w:sausage, q:5
w:savage, q:119
w:save, q:279
w:savour, q:4
w:saw, q:363
w:saxophone, q:2
w:say, q:1000
w:scale, q:64
w:scandal, q:22
w:scarce, q:42
w:scare, q:38
w:scarf, q:5
w:scene, q:116
w:scheme, q:46
w:scholarship, q:15
w:school, q:251
w:science, q:363
w:scissors, q:3
w:score, q:33
w:scorpion, q:4
w:scramble, q:9
w:scrape, q:17
w:scratch, q:29
w:scream, q:55
w:screen, q:41
w:screw, q:9
w:scruff, q:1
w:sea, q:321
w:seal, q:28
w:search, q:141
w:seashore, q:7
w:seaside, q:4
w:season, q:119
w:seat, q:65
w:second, q:278
w:second-rate, q:11
w:secret, q:312
w:secretary, q:11
w:section, q:26
w:secure, q:75
w:see, q:1000
w:seed, q:97
w:seek, q:361
w:seem, q:1000
w:segment, q:11
w:seize, q:65
w:seldom, q:158
w:select, q:26
w:selection, q:21
w:selfish, q:66
w:sell, q:88
w:senate, q:19
w:send, q:158
w:senior, q:11
w:sense, q:944
w:senseless, q:21
w:sensible, q:72
w:sensitive, q:50
w:sentence, q:114
w:separate, q:159
w:september, q:11
w:sergeant, q:2
w:serial, q:7
w:serious, q:155
w:sermon, q:22
w:servant, q:101
w:serve, q:269
w:service, q:164
w:set, q:685
w:set on, q:9
w:settle, q:96
w:settlement, q:30
w:several, q:143
w:severe, q:36
w:sew, q:15
w:sex, q:285
w:shade, q:80
w:shadow, q:194
w:shake, q:84
w:shallow, q:37
w:shame, q:111
w:shape, q:210
w:share, q:188
w:shark, q:10
w:sharp, q:77
w:shave, q:18
w:sheep, q:44
w:sheet, q:42
w:shelf, q:16
w:shell, q:39
w:shelter, q:40
w:shield, q:11
w:shift, q:61
w:shine, q:99
w:ship, q:109
w:shirt, q:29
w:shock, q:52
w:shoe, q:77
w:shoot, q:97
w:shoot down, q:1
w:shop, q:52
w:shopping, q:24
w:shore, q:127
w:short, q:237
w:short cut, q:5
w:shortage, q:4
w:shortly, q:13
w:shot, q:87
w:shoulder, q:59
w:shout, q:68
w:show, q:574
w:shower, q:31
w:shrink, q:53
w:shut, q:134
w:shy, q:20
w:sick, q:113
w:side, q:403
w:sigh, q:92
w:sight, q:218
w:sign, q:193
w:signal, q:23
w:signature, q:8
w:significant, q:64
w:signpost, q:5
w:silence, q:197
w:silent, q:169
w:silk, q:14
w:silly, q:67
w:simplify, q:3
w:sin, q:224
w:since, q:565
w:sincere, q:50
w:sing, q:280
w:single, q:320
w:singular, q:41
w:sink, q:95
w:sir, q:429
w:siren, q:7
w:sister, q:75
w:sit, q:406
w:situation, q:145
w:size, q:69
w:skate, q:4
w:skeleton, q:17
w:ski, q:2
w:skill, q:132
w:skim, q:9
w:skin, q:117
w:skirt, q:25
w:skull, q:27
w:sky, q:154
w:slang, q:3
w:slave, q:189
w:sleep, q:289
w:sleepy, q:18
w:sleeve, q:10
w:slice, q:18
w:slide, q:24
w:slight, q:68
w:slim, q:18
w:slip, q:75
w:slipper, q:9
w:slope, q:12
w:slot, q:2
w:slow, q:124
w:small, q:534
w:smart, q:44
w:smash, q:11
w:smell, q:130
w:smile, q:161
w:smoke, q:59
w:smooth, q:75
w:smuggle, q:1
w:snack, q:3
w:snag, q:2
w:snail, q:8
w:snake, q:32
w:sneeze, q:6
w:sniff, q:16
w:snore, q:4
w:snow, q:122
w:snub, q:2
w:so, q:1000
w:so far, q:159
w:soak, q:8
w:soap, q:22
w:soccer, q:4
w:social, q:521
w:society, q:600
w:sock, q:11
w:socket, q:4
w:sofa, q:6
w:soft, q:141
w:soil, q:100
w:soldier, q:134
w:solemn, q:55
w:solid, q:80
w:solidarity, q:10
w:solve, q:48
w:some, q:1000
w:somebody, q:126
w:someone, q:318
w:sometimes, q:532
w:somewhere, q:114
w:son, q:241
w:song, q:176
w:soon, q:389
w:sophisticated, q:11
w:sore, q:28
w:sorrow, q:145
w:sorry, q:56
w:sort, q:429
w:soul, q:779
w:sound, q:377
w:soup, q:20
w:sour, q:34
w:source, q:159
w:south, q:113
w:souvenir, q:2
w:sow, q:26
w:space, q:210
w:spade, q:15
w:span, q:23
w:spare, q:70
w:speak, q:577
w:special, q:144
w:spectacular, q:11
w:spectator, q:30
w:speech, q:211
w:speed, q:52
w:spell, q:55
w:spend, q:190
w:spice, q:15
w:spider, q:19
w:spill, q:26
w:spiral, q:7
w:spirit, q:576
w:spit, q:28
w:spite, q:89
w:splash, q:12
w:splendid, q:59
w:split, q:37
w:spoil, q:51
w:spoon, q:18
w:sport, q:92
w:spot, q:85
w:spread, q:129
w:spring, q:256
w:spy, q:8
w:square, q:50
w:squash, q:5
w:squeeze, q:17
w:stabilize, q:1
w:stable, q:31
w:stadium, q:6
w:staff, q:29
w:stage, q:168
w:stain, q:41
w:stair, q:34
w:stall, q:11
w:stamp, q:66
w:stand, q:766
w:standard, q:121
w:star, q:309
w:stare, q:39
w:start, q:331
w:state, q:930
w:station, q:41
w:stationery, q:1
w:statue, q:41
w:stay, q:220
w:steady, q:62
w:steak, q:9
w:steal, q:85
w:steam, q:27
w:steel, q:46
w:steep, q:21
w:steer, q:19
w:step, q:239
w:sterile, q:18
w:sterilize, q:3
w:stethoscope, q:1
w:steward, q:3
w:stick, q:98
w:stiff, q:31
w:still, q:1000
w:stir, q:92
w:stock, q:58
w:stocking, q:8
w:stomach, q:40
w:stone, q:223
w:stool, q:5
w:stop, q:306
w:store, q:79
w:storm, q:91
w:story, q:200
w:stove, q:11
w:straight, q:120
w:strain, q:53
w:strange, q:315
w:strap, q:5
w:straw, q:28
w:strawberry, q:4
w:stream, q:116
w:street, q:232
w:strength, q:258
w:stress, q:26
w:stretch, q:96
w:stretcher, q:1
w:strict, q:42
w:strike, q:137
w:string, q:42
w:strip, q:28
w:stripe, q:10
w:stroke, q:58
w:strong, q:388
w:structure, q:99
w:struggle, q:212
w:student, q:85
w:studio, q:13
w:study, q:173
w:stuff, q:85
w:stupid, q:89
w:stutter, q:2
w:style, q:172
w:subject, q:328
w:submarine, q:3
w:submit, q:60
w:subscribe, q:4
w:subsidize, q:3
w:subsidy, q:1
w:substance, q:53
w:substitute, q:49
w:subtract, q:5
w:suburb, q:18
w:subway, q:11
w:succeed, q:150
w:success, q:201
w:succession, q:29
w:such, q:1000
w:suck, q:53
w:sudden, q:90
w:suffer, q:416
w:sufficient, q:79
w:sugar, q:38
w:suggest, q:145
w:suggestion, q:38
w:suicide, q:58
w:suit, q:83
w:suitcase, q:2
w:sum, q:71
w:summary, q:6
w:summer, q:196
w:summit, q:30
w:sun, q:408
w:sunday, q:56
w:sunset, q:36
w:sunshine, q:30
w:superb, q:5
w:superior, q:111
w:superstition, q:42
w:supervise, q:4
w:supper, q:14
w:supplies, q:14
w:supply, q:48
w:support, q:218
w:suppose, q:288
w:suppress, q:36
w:supreme, q:98
w:sure, q:314
w:surface, q:112
w:surgeon, q:16
w:surgery, q:2
w:surname, q:2
w:surprise, q:65
w:surrender, q:38
w:surround, q:129
w:suspect, q:76
w:suspend, q:33
w:suspension, q:6
w:suspicion, q:40
w:swallow, q:70
w:swan, q:27
w:swear, q:50
w:sweat, q:51
w:sweater, q:3
w:sweep, q:69
w:sweet, q:384
w:swell, q:57
w:swim, q:69
w:swing, q:47
w:switch, q:15
w:swollen, q:8
w:sword, q:88
w:symbol, q:110
w:syrup, q:2
w:system, q:271
w:table, q:106
w:tablet, q:12
w:taboo, q:23
w:tail, q:52
w:tailor, q:7
w:take, q:1000
w:talent, q:160
w:talk, q:595
w:talkative, q:4
w:tall, q:53
w:tame, q:24
w:tan, q:7
w:tank, q:5
w:tap, q:8
w:tape, q:10
w:target, q:8
w:tariff, q:2
w:tart, q:4
w:task, q:147
w:taste, q:269
w:tax, q:60
w:taxi, q:7
w:tea, q:39
w:teach, q:337
w:teacher, q:93
w:team, q:21
w:tear, q:214
w:tease, q:8
w:technique, q:48
w:teenager, q:14
w:telegram, q:4
w:telephone, q:35
w:telescope, q:9
w:television, q:87
w:tell, q:832
w:temper, q:60
w:temperature, q:13
w:temple, q:81
w:temporary, q:31
w:tempt, q:79
w:tenant, q:8
w:tend, q:179
w:tender, q:72
w:tent, q:25
w:term, q:229
w:terminal, q:5
w:terrace, q:7
w:terrible, q:153
w:terrific, q:19
w:terrify, q:4
w:territory, q:24
w:terror, q:84
w:test, q:109
w:than, q:1000
w:thank, q:129
w:that, q:1000
